E:\fl-experiment\.venv\Lib\site-packages\torch\cuda\__init__.py:61: FutureWarning: The pynvml package is deprecated. Please install nvidia-ml-py instead. If you did not install pynvml directly, please report this to the maintainers of the package that installed pynvml for you.
  import pynvml  # type: ignore[import]
2026-09-24 17:38:09,353 fflow.py init [line:848] INFO PROCESS ID:	28708
2026-09-24 17:38:09,353 fflow.py init [line:849] INFO Initializing devices: cuda:0 will be used for this running.
2026-09-24 17:38:09,353 fflow.py init [line:852] INFO BENCHMARK:	flgo.benchmark.mnist_classification
2026-09-24 17:38:09,353 fflow.py init [line:853] INFO TASK:			E:\Federated Machine Learning\FL-Byzantine-Library\mnist_dir20
2026-09-24 17:38:09,361 fflow.py init [line:854] INFO MODEL:		flgo.benchmark.mnist_classification.model.cnn
2026-09-24 17:38:09,361 fflow.py init [line:855] INFO ALGORITHM:	research_algorithm
2026-09-24 17:38:10,380 fflow.py init [line:901] INFO SCENE:		horizontal FL with 1 <class 'flgo_byzantine.research_algorithm.Server'>, 20 <class 'flgo_byzantine.research_algorithm.Client'>
2026-09-24 17:38:10,472 fflow.py init [line:918] INFO SIMULATOR:	<class 'flgo.simulator.default_simulator.Simulator'>
2026-09-24 17:38:14,959 fflow.py init [line:931] INFO Ready to start.
2026-09-24 17:38:14,959 fedbase.py run [line:300] INFO --------------Initial Evaluation--------------
2026-09-24 17:38:14,959 simple_logger.py log_once [line:14] INFO Current_time:0
2026-09-24 17:38:16,546 simple_logger.py log_once [line:28] INFO test_accuracy                 0.0875
2026-09-24 17:38:16,546 simple_logger.py log_once [line:28] INFO test_loss                     2.3101
2026-09-24 17:38:16,546 simple_logger.py log_once [line:28] INFO val_accuracy                  0.0866
2026-09-24 17:38:16,546 simple_logger.py log_once [line:28] INFO mean_val_accuracy             0.0874
2026-09-24 17:38:16,546 simple_logger.py log_once [line:28] INFO std_val_accuracy              0.2312
2026-09-24 17:38:16,546 simple_logger.py log_once [line:28] INFO val_loss                      2.3109
2026-09-24 17:38:16,546 simple_logger.py log_once [line:28] INFO mean_val_loss                 2.3111
2026-09-24 17:38:16,546 simple_logger.py log_once [line:28] INFO std_val_loss                  0.0785
2026-09-24 17:38:16,546 fedbase.py run [line:303] INFO Eval Time Cost:               1.5874s
2026-09-24 17:38:16,547 asyncbase.py iterate [line:68] INFO Select clients [np.int64(7), np.int64(16), np.int64(18), np.int64(1), np.int64(9), np.int64(19)] at time 1.
2026-09-24 17:38:18,481 asyncbase.py iterate [line:73] INFO Receive new models from clients [16] at time 1
2026-09-24 17:38:18,508 fedbase.py run [line:311] INFO --------------Round 1--------------
2026-09-24 17:38:18,508 simple_logger.py log_once [line:14] INFO Current_time:1
2026-09-24 17:38:19,969 simple_logger.py log_once [line:28] INFO test_accuracy                 0.1815
2026-09-24 17:38:19,969 simple_logger.py log_once [line:28] INFO test_loss                     5.7233
2026-09-24 17:38:19,969 simple_logger.py log_once [line:28] INFO val_accuracy                  0.1865
2026-09-24 17:38:19,969 simple_logger.py log_once [line:28] INFO mean_val_accuracy             0.1861
2026-09-24 17:38:19,970 simple_logger.py log_once [line:28] INFO std_val_accuracy              0.3511
2026-09-24 17:38:19,970 simple_logger.py log_once [line:28] INFO val_loss                      5.6889
2026-09-24 17:38:19,970 simple_logger.py log_once [line:28] INFO mean_val_loss                 5.6923
